Posting Type,Portfolio Name,Sub Portfolio,Property Name,Expedia ID,Expedia Review Status,Billing Type,From,To,Remaining/Direct Billed,Expedia Amount Reported to Property,Additional Revenue,Expedia Amount Confirmed by Property,,Booking ID,Booking.Com Review Status,Booking.com Amount to be Claimed,Booking.com Amount Confirmed by Property,,Agoda ID,AGODA Review Status,Amount to be Claimed From Agoda,Amount Confirmed by Property
OTA,Huntington Hotel Group,,Courtyard by Marriott Silver Spring Downtown -1178281,1178281,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$2,231.01",,"$2,231.01",,268541,Nothing To Report,$0.00,$0.00,,,,,
OTA,Huntington Hotel Group,,Courtyard Los Angeles Burbank Airport-894432,894432,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$5,407.93",,"$4,947.82",,265685,Invoiced,"$2,961.32","$2,938.15",,,,,
OTA,Huntington Hotel Group,,Courtyard Salt Lake City Cottonwood-60868092,60868092,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$1,611.17",,"$1,603.57",,6933205,Invoiced,"$4,933.93","$4,757.26",,,,,
OTA,Huntington Hotel Group,,Courtyard San Diego Airport/Liberty Station-1925594,1925594,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$5,713.10",,"$3,973.46",,265400,Invoiced,"$2,502.24","$2,040.13",,,,,
OTA,Huntington Hotel Group,,Courtyard San Diego Central-854424,854424,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$4,192.80",,"$3,605.34",,265403,Invoiced,"$4,829.98","$4,722.74",,,,,
OTA,Huntington Hotel Group,,Courtyard San Jose Campbell-2952958,2952958,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,$886.91,,$886.91,,239749,Invoiced,$191.62,$151.62,,,,,
OTA,Huntington Hotel Group,,Courtyard Thousand Oaks Agoura Hills-40203062,40203062,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,$656.14,,$656.14,,5585717,Invoiced,"$1,011.28","$1,011.28",,,,,
OTA,Huntington Hotel Group,,Element Irvine - 75905491,75905491,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$2,499.85",,"$2,458.23",,8264568,Invoiced,"$1,873.19","$1,832.59",,,,,
OTA,Huntington Hotel Group,,Hilton Garden Inn Shirlington,3004295,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$3,931.93",,"$3,767.84",,254644,Nothing To Report,"$8,979.82",$0.00,,,,,
OTA,Huntington Hotel Group,,Home2 Suites By Hilton Temecula - 32749220,32749220,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$2,842.02",,"$2,842.02",,4480685,Invoiced,$565.54,$282.77,,,,,
